"resp","response_token","timestamp","fu_json","p3q1","p3q2","p3q3","p3q3a","p3q4","p3q5","p3q6","p3q7","p3q8","p3q9","p3q10","p3q11","p3q12","p3q13","p3q14","p3q15","p3q16a","p3q16b","p3q16c","p3q16d","p3q16e","p3q16f","p3q16g","p3q16h","p3q16i","p3q16j","p3q16k","p3q16l","p3q16m","p3q16n","p3q16o","p3q16p","p3q17a","p3q17b","p3q17c","p3q17d","p3q17e","p3q17f","p3q17g","p3q17h","p3q17i","p3q17j","p3q17k","p3q18","p3q19","p3q20","p3q21","p3q22","p3q23","p3q24","p3q25","p3q26","p3q27","p3q28","p3q29","p3q30","p3q31a","p3q31b","p3q31c","p3q31d","p3q31e","p3q31f","p3q31g","p3q31h","p3q31i","p3q31j","p3q31k","p3q31l","p3q31m","p3q31n","p3q31o","p3q31p","p3q31q","p3q32a","p3q32b","p3q32c","p3q32d","p3q32e","p3q32f","p3q32g","p3q32h","p3q32i","p3q32j","p3q32k","p3q33","p3q34a","p3q34b","p3q34c","p3q34d","p3q34e","p3q34f","p3q34g","p3q34h","p3q34i","p3q34j","p3q34k","p3q34l","p3q34m","p3q34n","p3q34o"
"683","273aa1992873e231821ba2ef8c4ab50108b39639cea87c72ee56c8049be8c27b","1431559810",,"NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"684","3104564a53837e91b0369a663bf41b056336e3b71153d1a859a9885f6b9486ce","1431559889",,"NANS","NANS","NANS","NANS","10_100","no","20","3","NANS","given_friends,unregistered_parties,official_parties,no_id","given_friends","liquor","twice","never","no","at_lg_socializing","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","never","once","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"685","e9fb071d05f2f4c7f079a7a5067199abd20fed0927ce3efe0722b234de188158","1431559880",,"NANS","NANS","NANS","NANS","3_10","no","18","2","NANS","NANS","NANS","wine","once","once","no","other","no","no","no","no","no","yes","no","no","no","NANS","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"686","3aa7949b35a1facf435738d9b0003bce20376983e7249e3636905ed9d04b358d","1431560011",,"NANS","NANS","NANS","NANS","3_10","yes","21","3","NANS","NANS","NANS","liquor","never","never","no","at_lg_socializing","yes","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"687","c045946035c7b55ba774719223b2adf99cc4bfad95cd0a5c0711c463194ebb9d","1431560151",,"NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"688","9afbe63cf956afca59dd6d1a628e4c38ccd3625c2b732a77e57e4f3e345bf7ed","1431560224","whippits_amount=le1","NANS","NANS","NANS","NANS","gt100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,off_campus,unregistered_parties,parents,no_id,fake_id,lower_drinking_age","fake_id","beer","10_100","gt100","no","at_lg_socializing","yes","no","yes","yes","yes","yes","no","yes","no","no","no","no","yes","yes","no","no","ge3","ge3","ge3","never","never","never","never","never","never","once","never","10_100","joint,bowl,bong,vaporizer,edible,dabbing","given_friends","19","2","yes","at_lg_socializing","no","no","yes","vaporizer","given_friends","NANS","yes","no","yes","yes","yes","yes","no","yes","no","no","no","no","yes","no","no","no","yes","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never"
"689","4a0b3ea7bba7d78083286a9ba7894bcb34c3ab09a65793a11e832dbb45318e8a","1431560406","caffeine_with_alcohol=no&whippits_amount=le1&psychedelics_trip_sitter=always&psychedelics_bad_trip=never&psychedelics_reasonsa=yes&psychedelics_reasonse=yes&psychedelics_reasonsf=yes&psychedelics_obtained=given_friends&lsd_obtained=given_friends&lsd_dose=l20","NANS","NANS","NANS","NANS","10_100","NANS","NANS","NANS","NANS","bought_friends,given_friends,parents","given_friends","wine","3_10","twice","no","alone","yes","yes","yes","yes","NANS","NANS","NANS","yes","NANS","yes","NANS","NANS","yes","NANS","yes","NANS","never","ge3","never","never","never","never","never","never","never","never","never","gt100","joint,bowl,bong,improvised,vaporizer,edible,dabbing,liquid","NANS","19","2","yes","alone","no","yes","yes","bong","bought_non_MIT","NANS","yes","yes","yes","yes","NANS","yes","NANS","yes","NANS","yes","yes","NANS","NANS","NANS","yes","NANS","NANS","once","ge3","never","never","never","never","never","never","never","never","never","ge3","twice","ge3","never","never","once","never","never","never","twice","ge3","once","never","never","never","twice"
"690","e85735e74157c40be9c17c51699fe82d2f978d6f58b6a7aaad82cd8f2ee2b723","1431560571",,"NANS","NANS","NANS","NANS","3_10","NANS","NANS","NANS","NANS","given_friends","NANS","beer","never","once","no","at_lg_socializing","yes","no","yes","yes","no","yes","yes","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"691","2efb2150f6d944aded44cfdfc33d77ffa0851ec70b692a9e08a301b4d10647fa","1431560635",,"NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"692","b84a861afcd8dfd528dd4c3a9bcda34dbd14c4d25c68ff73f9c8f02fda2e25ff","1431560639","whippits_amount=le1","NANS","NANS","NANS","NANS","10_100","yes","19","1","NANS","bought_friends,given_friends,MIT_FSILG_parties,unregistered_parties,official_parties,student_group_events,lower_drinking_age","given_friends","beer","10_100","10_100","no","my_parties","yes","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","never","once","never","never","never","never","never","never","never","ge3","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never"
"693","c0a5905e4ab07e39ba83d298dd582f089120572582c7cf3027ef098ab9ee9061","1431560613",,"NANS","NANS","NANS","NANS","3_10","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,parents","given_friends","beer","twice","3_10","no","my_parties","yes","no","yes","yes","no","yes","no","yes","no","no","no","no","no","yes","no","no","never","ge3","never","never","never","never","never","never","once","once","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"694","af5cf45ecdb63a932eb174090aa409552883b2d2f28d9293329019ee1187dfa0","1431560670",,"NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"695","4be4b215ccc264c2efcd5cc635443bbfaed3408ba1be4206dec3081af7a45f1a","1431560931","whippits_amount=5_10&psychedelics_trip_sitter=often&psychedelics_bad_trip=once&psychedelics_reasonsa=yes&psychedelics_reasonsb=no&psychedelics_reasonsc=no&psychedelics_reasonsd=yes&psychedelics_reasonse=yes&psychedelics_reasonsf=yes&psychedelics_reasonsg=no&psychedelics_reasonsh=no&psychedelics_reasonsi=no&psychedelics_reasonsj=no&psychedelics_reasonsk=no&psychedelics_reasonsl=no&psychedelics_reasonsm=no&psychedelics_reasonsn=no&psychedelics_reasonso=no&psychedelics_obtained=bought_friends_MIT%2Cbought_non_MIT%2Cgiven_friends&lsd_obtained=bought_friends_MIT%2Cbought_non_MIT%2Cgiven_friends&lsd_dose=50_150","twice","yes","no","NANS","10_100","NANS","NANS","NANS","NANS","given_friends,MIT_FSILG_parties,unregistered_parties","unregistered_parties","liquor","3_10","3_10","no","at_lg_socializing","no","no","no","yes","no","yes","no","yes","no","no","yes","no","no","yes","no","no","never","never","never","never","never","never","never","never","never","never","never","10_100","joint,bowl,bong,improvised,vaporizer,edible,dabbing,liquid","bought_friends_MIT,bought_non_MIT,given_friends","NANS","NANS","NANS","at_lg_socializing","no","no","yes","bong","bought_non_MIT","NANS","yes","no","yes","yes","no","yes","no","yes","no","no","yes","no","no","no","no","no","no","never","never","never","never","never","never","never","never","twice","never","never","never","never","never","never","never","never","never","never","never","once","never","never","never","never","never","never"
"696","56eb3077e9be542835dd1b58c8f7bd2342784011192cb339867d69cd797f2e42","1431561057",,"NANS","NANS","NANS","NANS","10_100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,non_MIT_FSILG_party,unregistered_parties,student_group_events,lower_drinking_age","bought_friends","beer","10_100","10_100","no","my_parties","yes","yes","yes","yes","no","yes","yes","no","no","no","no","no","no","yes","yes","no","never","ge3","once","never","never","never","never","never","never","twice","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"697","38f512dd7a4f34ffa94b76e41349bb6279529801ecc13e926864ad6cb2350888","1431561308",,"NANS","NANS","NANS","NANS","10_100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,parents,lower_drinking_age","parents","wine","once","once","no","my_parties","yes","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","never","once","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"698","2490295f52a720819c048f4cf0304d2af9ab82a2bed8708dcfe1ef8c648b5001","1431561552",,"NANS","NANS","NANS","NANS","gt100","no","20","3","NANS","bought_friends,given_friends,unregistered_parties,parents","unregistered_parties","liquor","3_10","3_10","no","bars","yes","no","yes","yes","no","yes","yes","no","no","no","no","no","yes","yes","no","no","never","twice","never","never","never","never","never","never","once","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"699","32b62ee3f4a49ee4338fd2603b724e93ec3eb044e17503674dc59a5b66e3c650","1431561576","whippits_amount=3_5&psychedelics_trip_sitter=always&psychedelics_bad_trip=never&psychedelics_reasonsa=yes&psychedelics_reasonsb=no&psychedelics_reasonsc=no&psychedelics_reasonsd=no&psychedelics_reasonse=yes&psychedelics_reasonsf=yes&psychedelics_reasonsg=no&psychedelics_reasonsh=yes&psychedelics_reasonsi=no&psychedelics_reasonsj=no&psychedelics_reasonsk=no&psychedelics_reasonsl=no&psychedelics_reasonsm=no&psychedelics_reasonsn=no&psychedelics_reasonso=no&psychedelics_obtained=given_friends&lsd_obtained=given_friends&lsd_dose=50_150","once","no","no","NANS","10_100","NANS","NANS","NANS","NANS","given_friends,MIT_FSILG_parties,non_MIT_FSILG_party,off_campus,unregistered_parties,official_parties","given_friends","high_alc","3_10","3_10","no","elsewhere_socializing","yes","no","yes","yes","no","yes","no","no","no","no","no","no","no","no","no","no","never","twice","never","never","never","never","never","never","never","never","never","10_100","joint,bowl,bong,improvised,vaporizer","bought_friends_MIT,MIT_FSILG_parties,given_friends","NANS","NANS","NANS","alone","no","no","yes","bowl","bought_friends_MIT","NANS","yes","no","yes","yes","no","yes","no","yes","no","no","no","no","yes","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never"
"700","8862a529e1d2a5943a6cb74c2c8580eb3b8cd2e9fdb19d2abecf200573a703f9","1431561948",,"NANS","NANS","NANS","NANS","10_100","NANS","NANS","NANS","NANS","NANS","NANS","beer","never","never","no","at_lg_socializing","no","no","yes","yes","no","no","no","no","no","no","no","no","no","yes","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"701","6404a9cd5f91ce8bb5f6fc4fc07ba6e02553728a8ec2011d533c1609ea460c8e","1431562034",,"NANS","NANS","NANS","NANS","10_100","NANS","NANS","NANS","NANS","given_friends,non_MIT_FSILG_party,lower_drinking_age","given_friends","high_alc","3_10","never","no","elsewhere_socializing","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"702","84f1386e0fa87df5e97584110c778fdef074df0ca83c4dba54ddb26c2d7e1a75","1431562193",,"NANS","NANS","NANS","NANS","gt100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,non_MIT_FSILG_party,off_campus,unregistered_parties,official_parties,student_group_events,no_id","given_friends","liquor","10_100","10_100","no","others_parties","yes","yes","yes","yes","no","yes","yes","yes","yes","no","no","no","no","no","yes","no","ge3","ge3","twice","never","never","never","never","ge3","ge3","ge3","never","3_10","joint,bowl,bong,vaporizer,edible","bought_friends_MIT,given_friends","NANS","NANS","NANS","at_lg_socializing","no","no","NANS","NANS","NANS","NANS","yes","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","never","twice","ge3","never","never","never","never","never","never","never","never","never","never","never","never","never"
"703","13a6a3c73b55e731ae257e86d1db163046565ed4bed6c6f9dd63e07e28623e65","1431562264",,"NANS","NANS","NANS","NANS","3_10","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,parents","bought_friends","liquor","never","3_10","no","at_lg_socializing","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","NANS","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
